comment_id,text,author,likes_count,published_at,updated_at,reply_count,is_reply,parent_id,video_id,source
Ugx5sfisE4IkzZgtSzp4AaABAg.AUe6Ef5pt2dAUeBkEesBX8,"​@miminsitichannel2528 di Indonesia soal hal"" yang namanya gratis pasti disambut bahagia,, permasalahan yang GK diketahui orng yg kurang pengetahuan adalah,, secara makro ekonomi MBG ini bukan program yg bisa gerakin ekonomi nya",@Kanadafarm,0,2026-03-22T10:00:26Z,2026-03-22T10:00:26Z,0,True,Ugx5sfisE4IkzZgtSzp4AaABAg,S4iey1sr1Cg,youtube
UgxN19mqs04oNVvZ2C14AaABAg,semangaaaattt bapak kuuu pak prabowo kami akan trus mendukung program bapak yg positif seperti MBG ❤❤❤,@vallenparsal1424,21,2026-03-22T04:38:17Z,2026-03-22T04:38:17Z,3,False,,S4iey1sr1Cg,youtube
UgxN19mqs04oNVvZ2C14AaABAg.AUdbsiI9CMeAUdqX3deVIk,Punya sppg berapa?,@user-nm8mm6bb8i,1,2026-03-22T06:46:16Z,2026-03-22T06:46:16Z,0,True,UgxN19mqs04oNVvZ2C14AaABAg,S4iey1sr1Cg,youtube
UgxN19mqs04oNVvZ2C14AaABAg.AUdbsiI9CMeAUdqyH2sSnH,"@user-nm8mm6bb8imaaf saya mh ibu rumah tangga tapi anak dan tetangga saya pd seneng karna selama ini gizi mereka tercukupi, yg selama ini saya gak bisa berikan. bersyukur dengan ada nya mbg sngat membantu untuk desa saya",@vallenparsal1424,0,2026-03-22T06:50:07Z,2026-03-22T06:50:07Z,0,True,UgxN19mqs04oNVvZ2C14AaABAg,S4iey1sr1Cg,youtube
UgxN19mqs04oNVvZ2C14AaABAg.AUdbsiI9CMeAUf85d313hV,sppg mana nih,@yeyenseptian4311,0,2026-03-22T18:47:47Z,2026-03-22T18:47:47Z,0,True,UgxN19mqs04oNVvZ2C14AaABAg,S4iey1sr1Cg,youtube
UgzVm5wvipKjRnGk6Rl4AaABAg,"Dengan adanya program prabowo ini sangat membantu anak² sekolah untuk mendapatkan gizi,dan yang tidak punya pekerjaan bisa dapat pekerjaan membantu perekonomian keluarga,terima kasih pak prabowo🙏",@riadmutakin8881,0,2026-03-23T05:59:28Z,2026-03-23T05:59:28Z,0,False,,S4iey1sr1Cg,youtube
UgxBubuKj3jMeTIOLiN4AaABAg,"Kami sangat mendukung program MBG pak, lanjutkan terus pak untuk generasi bangsa dan memperkuat UMKM masyarakat",@batnight4389,36,2026-03-22T02:37:06Z,2026-03-22T02:37:06Z,8,False,,S4iey1sr1Cg,youtube
UgxBubuKj3jMeTIOLiN4AaABAg.AUdP089HUPbAUdqaYkJfIB,Punya data umkm yg terlibat?,@user-nm8mm6bb8i,1,2026-03-22T06:46:52Z,2026-03-22T06:46:52Z,0,True,UgxBubuKj3jMeTIOLiN4AaABAg,S4iey1sr1Cg,youtube
UgxBubuKj3jMeTIOLiN4AaABAg.AUdP089HUPbAUducK_KETH,"UMKM apanya,... Wong yg dapet orang-orang DPR kok",@djokosumitro9559,0,2026-03-22T07:22:04Z,2026-03-22T07:22:04Z,0,True,UgxBubuKj3jMeTIOLiN4AaABAg,S4iey1sr1Cg,youtube
UgxBubuKj3jMeTIOLiN4AaABAg.AUdP089HUPbAUdy1XapG6d,"​@djokosumitro9559emang DPR nanam sayur, beternak ternak, jadi nelayan dll. Umkm yg ini maksudnya bro",@Bacil-X,0,2026-03-22T07:51:52Z,2026-03-22T07:51:52Z,0,True,UgxBubuKj3jMeTIOLiN4AaABAg,S4iey1sr1Cg,youtube
UgxBubuKj3jMeTIOLiN4AaABAg.AUdP089HUPbAUdybonD4N-,UMKM yg mana wue  kalo ngomong  jangan asal ngebuka mulud aja,@RudiSuparno-x7z,0,2026-03-22T07:56:57Z,2026-03-22T07:56:57Z,0,True,UgxBubuKj3jMeTIOLiN4AaABAg,S4iey1sr1Cg,youtube
UgxBubuKj3jMeTIOLiN4AaABAg.AUdP089HUPbAUe-GzdlPSf,"​@Bacil-Xhaalah Mbelgedez.... Sudah sering denger minta harganya murah habis. 
Apa mau orang-orang DPR laba dikit untuk mensupport UMKM..? 
Malah menekan UMKM sih iya. 
Gak heran MBG nya banyak masalah, memprihatinkan",@djokosumitro9559,0,2026-03-22T08:11:27Z,2026-03-22T08:11:27Z,0,True,UgxBubuKj3jMeTIOLiN4AaABAg,S4iey1sr1Cg,youtube
UgxiarFxqqK3M74nNIR4AaABAg,"Dengan waktu yang singkat dan jumlah penerima manfaat jutaan, saya akui program ini luar biasa dan tidak main""",@alexsetyo889,14,2026-03-22T04:37:54Z,2026-03-22T04:37:54Z,1,False,,S4iey1sr1Cg,youtube
UgxiarFxqqK3M74nNIR4AaABAg.AUdbpsyzOqxAUe8GdsYPpV,Luar biasa untuk maling maling MBG. Kurang ajar MBG melecehkan guru guru,@DuniaMobil823,0,2026-03-22T09:30:03Z,2026-03-22T09:30:03Z,0,True,UgxiarFxqqK3M74nNIR4AaABAg,S4iey1sr1Cg,youtube
