text,likesCount,is_spam,text_clean,text_normalized,text_final,text_length,text_word_count,clean_text_length,clean_text_word_count
MBG adalah koentji,7,False,makan bergizi gratis koentji,makan bergizi gratis adalah koentji,makan bergizi gratis koentji,18,3,28,4
"Presiden kita gak peduli apbn jebol yg penting program MBG tetap jalan, supaya dipuja puji teruss",9,False,"presiden peduli anggaran pendapatan belanja negara jebol program makan bergizi gratis jalan, dipuja puji teruss","presiden kita tidak peduli anggaran pendapatan dan belanja negara jebol yg penting program makan bergizi gratis tetap jalan, supaya dipuja puji teruss","presiden peduli anggaran pendapatan belanja negara jebol program makan bergizi gratis jalan, dipuja puji teruss",97,16,111,15
"Fungsi utama MBG untuk persiapan nyalon lagi di 2029, minimal suara pemilik dapur, pekerja & buzzer MBG sudah diamankan beserta keluarganya.",1,False,"fungsi utama makan bergizi gratis persiapan nyalon , minimal suara pemilik dapur, pekerja & buzzer makan bergizi gratis diamankan beserta keluarganya.","fungsi utama makan bergizi gratis untuk persiapan nyalon lagi di , minimal suara pemilik dapur, pekerja & buzzer makan bergizi gratis sudah diamankan beserta keluarganya.","fungsi utama makan bergizi gratis persiapan nyalon , minimal suara pemilik dapur, pekerja & buzzer makan bergizi gratis diamankan beserta keluarganya.",140,21,150,21
btw harga oil udah balik lagi di kisaran 86$ per barrel 🙌 kemarin mungkin lagi panas²nya sempet nyentuh harga tertinggi secara tiba² kisaran 110$ per barel🙌 cmiiw,1,False,btw harga oil udah kisaran $ barrel kemarin panas²nya sempet nyentuh harga tertinggi tiba² kisaran $ barel cmiiw,btw harga oil udah balik lagi di kisaran $ per barrel kemarin mungkin lagi panas²nya sempet nyentuh harga tertinggi secara tiba² kisaran $ per barel cmiiw,btw harga oil udah kisaran $ barrel kemarin panas²nya sempet nyentuh harga tertinggi tiba² kisaran $ barel cmiiw,162,27,112,18
330T? Kok ky mbg setahun bang😂,1,False,t? ky makan bergizi gratis setahun bang,t? kok ky makan bergizi gratis setahun bang,t? ky makan bergizi gratis setahun bang,30,6,39,7
Pemilik SPPG tidak suka melihat postingan ini,292,False,pemilik sppg suka postingan,pemilik sppg tidak suka melihat postingan ini,pemilik sppg suka postingan,45,7,27,4
"Simple, tapi boomer pusing",1,False,"simple, boomer pusing","simple, tapi boomer pusing","simple, boomer pusing",26,4,21,3
Pemerintahnya kaga paham bang,7,False,pemerintahnya kaga paham bang,pemerintahnya kaga paham bang,pemerintahnya kaga paham bang,29,4,29,4
"MBG jangan disenggol bang. Itu melanggar HAM. Lanjutkan, meskipun harga minyak tembus diatas 150 dollar per barel.Biiarin. Biarin krisis datengnya lebih cepet.",1,False,"makan bergizi gratis disenggol bang. melanggar ham. lanjutkan, harga minyak tembus diatas dollar barel.biiarin. biarin krisis datengnya cepet.","makan bergizi gratis jangan disenggol bang. itu melanggar ham. lanjutkan, meskipun harga minyak tembus diatas dollar per barel.biiarin. biarin krisis datengnya lebih cepet.","makan bergizi gratis disenggol bang. melanggar ham. lanjutkan, harga minyak tembus diatas dollar barel.biiarin. biarin krisis datengnya cepet.",159,22,142,18
Prabowo dan Gibran nggak ngeri soal ini. Yang mereka mengerti hanya MBG.,3,False,prabowo gibran ngeri ini. mengerti mbg.,prabowo dan gibran tidak ngeri soal ini. yang mereka mengerti hanya mbg.,prabowo gibran ngeri ini. mengerti mbg.,72,12,39,6
"MBG gaboleh stop pokoknya, kalo bisa bbm di ganti sama mbg😂😂",4,False,"makan bergizi gratis gaboleh stop pokoknya, bahan bakar minyak ganti makan bergizi gratis","makan bergizi gratis gaboleh stop pokoknya, kalau bisa bahan bakar minyak di ganti sama makan bergizi gratis","makan bergizi gratis gaboleh stop pokoknya, bahan bakar minyak ganti makan bergizi gratis",60,11,89,13
@cilacap_project ni bang ferry yg KONTRA keras sama program MBG aj kritik nya di serta i SARAN masa akun informasi seperti anda malah ngajarin WARGA KRITIK TANPA SARAN🤮,2,False,ni bang ferry kontra keras program makan bergizi gratis aj kritik nya i saran akun informasi ngajarin warga kritik saran🤮,ni bang ferry yg kontra keras sama program makan bergizi gratis aj kritik nya di serta i saran masa akun informasi seperti anda malah ngajarin warga kritik tanpa saran🤮,ni bang ferry kontra keras program makan bergizi gratis aj kritik nya i saran akun informasi ngajarin warga kritik saran🤮,168,28,121,20
